step,ps0,ps1,ps2,ps3,ps4,ps5,ps6,ps7,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,vibracion,avance_real,odo_izq,odo_der,terreno,slip,inclinacion,front_min,side_min,x,y,theta,safety,action
57,63.4,68.3,65.3,66.2,65.1,74.8,66.1,68.8,0.011,0.002,9.8,-0.334,71.984,88.79,0.052,-0.0,5.702,1.005,sand,0.0,0.1,63.4,66.1,0.0616,-0.0097,-1.142,ok,avanzando en sand
58,62.0,70.4,70.1,65.7,71.9,69.4,66.8,67.7,1.669,0.001,9.786,-10.678,-6642.579,74.875,1.658,0.0722,5.778,1.074,rough,0,9.7,62.0,66.8,0.0623,-0.011,-1.097,ok,avanzando en rough
59,68.2,68.1,64.5,72.7,68.3,69.8,70.4,61.9,-0.242,-0.0,9.776,-4.965,3308.03,61.039,1.91,0.0502,5.828,1.124,rough,0,1.4,61.9,68.1,0.0628,-0.0119,-1.058,ok,avanzando en rough
60,68.8,65.9,60.0,69.1,65.4,70.1,69.4,65.5,0.002,-0.001,9.785,-6.399,3526.812,46.116,0.244,0.0502,5.878,1.174,metal,0.0,0.0,65.5,65.9,0.0633,-0.0127,-1.028,ok,avanzando en metal
61,72.7,70.8,69.0,65.9,71.1,64.2,67.9,62.5,1.51,-0.002,9.792,-8.82,-3133.73,41.127,1.508,0.1193,5.997,1.294,rough,0.01,8.8,62.5,67.9,0.0646,-0.0147,-1.002,ok,avanzando en rough
62,67.9,66.0,66.6,67.7,66.7,66.7,73.7,71.8,-1.4,-0.001,9.842,0.455,3834.41,30.777,2.91,0.0502,6.048,1.344,rough,0,8.1,67.9,66.0,0.0651,-0.0156,-0.982,ok,avanzando en rough
63,69.5,67.4,68.9,69.3,66.8,71.7,71.5,68.4,0.052,-0.001,9.796,2.389,-1875.214,24.418,1.453,0.0502,6.098,1.394,rough,0.0,0.3,68.4,67.4,0.0657,-0.0164,-0.966,ok,avanzando en rough
64,59.9,58.4,63.3,69.0,71.4,73.8,64.6,68.9,0.046,-0.001,9.783,3.761,187.299,18.746,0.015,0.0502,6.148,1.444,carpet,0.0,0.3,59.9,58.4,0.0663,-0.0172,-0.954,ok,avanzando en carpet
65,68.3,64.2,67.6,69.7,64.9,66.9,67.3,69.6,1.027,-0.001,9.803,1.817,140.948,16.57,0.981,0.1005,6.249,1.545,rough,0,6.0,68.3,64.2,0.0675,-0.0188,-0.944,ok,avanzando en rough
66,74.5,72.5,66.3,63.6,65.4,67.7,62.4,63.7,-1.148,-0.001,9.813,2.578,4983.71,12.633,2.175,0.0502,6.299,1.595,rough,0,6.7,63.7,62.4,0.0681,-0.0197,-0.936,ok,avanzando en rough
67,72.0,67.6,69.5,69.6,64.9,68.6,59.9,68.7,-0.066,-0.001,9.863,2.184,-2483.672,9.579,1.083,0.0502,6.349,1.645,rough,0.0,0.4,68.7,59.9,0.0687,-0.0205,-0.93,ok,avanzando en rough
68,68.6,62.6,70.5,68.1,69.9,67.5,58.7,69.7,0.041,-0.001,9.831,3.139,-2546.508,7.158,0.111,0.0502,6.399,1.696,metal,0,0.2,68.6,58.7,0.0693,-0.0213,-0.925,ok,explorando (metal)
69,62.1,67.1,67.0,67.4,67.0,68.8,63.1,63.4,0.001,0.001,9.776,-1.239,-324.018,-37.351,0.068,-0.0,6.098,1.997,sand,0.0,0.0,62.1,63.1,0.0693,-0.0213,-0.722,ok,avanzando en sand
70,66.8,69.4,64.4,67.2,65.1,67.1,69.6,62.2,1.675,-0.001,9.789,3.627,-7021.187,-28.498,1.674,0.0691,6.167,2.066,rough,0.018,9.7,62.2,69.4,0.0703,-0.0222,-0.74,ok,avanzando en rough
71,69.6,65.1,65.3,63.0,73.4,71.9,68.6,67.7,-0.243,0.0,9.779,1.895,3502.188,-22.149,1.918,0.0502,6.217,2.116,rough,0,1.4,67.7,65.1,0.071,-0.0229,-0.754,ok,avanzando en rough
72,68.1,69.4,71.1,62.4,72.0,68.2,64.6,70.3,-0.008,0.001,9.841,2.269,3723.438,-18.853,0.243,0.0502,6.267,2.167,metal,0.0,0.0,68.1,64.6,0.0717,-0.0236,-0.766,ok,avanzando en metal
73,62.7,71.6,68.6,64.8,67.8,67.1,65.6,64.4,1.489,0.001,9.799,3.443,-2957.187,-14.821,1.498,0.1225,6.387,2.292,rough,0,8.6,62.7,65.6,0.0735,-0.0253,-0.773,ok,avanzando en rough
74,62.9,65.7,64.7,65.9,66.5,60.2,65.2,72.1,-1.429,0.001,9.811,-0.555,3964.0,-12.711,2.918,0.0502,6.437,2.342,rough,0,8.3,62.9,65.2,0.0742,-0.026,-0.781,ok,avanzando en rough
75,67.8,65.6,71.6,65.2,69.5,68.8,71.9,65.2,0.031,0.001,9.832,-1.251,-1946.168,-9.759,1.461,0.0502,6.487,2.393,rough,0.0,0.2,65.2,65.6,0.0749,-0.0267,-0.788,ok,avanzando en rough
76,66.3,69.8,67.6,69.1,66.4,67.2,65.4,66.2,0.029,0.001,9.801,-1.954,84.868,-7.771,0.032,0.0502,6.537,2.443,carpet,0,0.2,66.2,65.4,0.0756,-0.0274,-0.793,ok,avanzando en carpet
77,68.1,66.8,64.6,68.0,66.4,68.6,71.6,69.1,1.007,0.001,9.798,-1.016,58.111,-6.84,0.978,0.1005,6.638,2.543,rough,0.0,5.9,68.1,66.8,0.077,-0.0289,-0.797,ok,avanzando en rough
78,64.2,65.2,71.2,69.8,64.7,69.8,64.5,67.0,-1.159,0.0,9.779,-1.315,4903.166,-5.161,2.166,0.0502,6.688,2.594,rough,0,6.8,64.2,64.5,0.0777,-0.0296,-0.8,ok,avanzando en rough
79,64.8,68.1,75.0,62.5,68.5,71.5,66.6,68.2,-0.077,0.0,9.842,-1.088,-2413.848,-4.132,1.084,0.0502,6.738,2.644,rough,0.0,0.4,64.8,66.6,0.0784,-0.0303,-0.803,ok,avanzando en rough
80,63.9,64.6,65.6,64.2,65.8,70.7,58.6,69.3,0.028,0.0,9.802,-1.506,-2489.549,-2.929,0.112,0.0502,6.789,2.694,metal,0,0.2,63.9,58.6,0.0791,-0.031,-0.805,ok,avanzando en metal
81,67.9,66.6,64.8,73.6,67.9,68.0,68.5,67.1,1.403,0.0,9.834,-0.981,29.776,-2.699,1.375,0.1193,6.908,2.813,rough,0.01,8.1,67.1,66.6,0.0808,-0.0327,-0.806,ok,avanzando en rough
82,66.0,73.1,74.1,60.6,63.4,69.8,66.2,64.7,-1.626,0.0,9.786,-1.043,6766.226,-1.76,3.03,0.0502,6.958,2.864,rough,0.0,9.4,64.7,66.2,0.0815,-0.0335,-0.808,ok,avanzando en rough
83,63.7,71.0,65.2,63.3,70.2,68.3,66.1,70.2,-0.116,-0.0,9.815,-0.773,-3337.306,-1.213,1.511,0.0502,7.008,2.914,rough,0.0,0.7,63.7,66.1,0.0822,-0.0342,-0.808,ok,avanzando en rough
84,66.1,63.5,65.3,63.0,63.9,65.8,67.3,66.9,0.031,0.0,9.795,-0.917,-3493.923,-0.785,0.148,0.0502,7.059,2.964,metal,0,0.2,66.1,63.5,0.0828,-0.0349,-0.809,ok,avanzando en metal
85,69.6,70.6,67.0,68.3,68.4,66.5,66.4,64.7,1.333,-0.0,9.85,-0.382,1694.564,-0.789,1.303,0.1193,7.178,3.083,rough,0.01,7.7,64.7,66.4,0.0845,-0.0367,-0.809,ok,avanzando en rough
86,67.7,68.8,63.5,71.9,67.9,66.4,68.0,70.9,-1.412,0.0,9.836,-0.705,-85.836,-0.455,2.745,0.0502,7.228,3.134,rough,0.0,8.2,67.7,68.0,0.0852,-0.0374,-0.81,ok,avanzando en rough
87,69.4,68.5,66.6,70.0,65.5,65.7,66.0,68.7,-0.031,0.0,9.795,-0.574,-133.078,-0.301,1.382,0.0502,7.279,3.184,rough,0,0.2,68.7,66.0,0.0859,-0.0381,-0.81,ok,avanzando en rough
88,63.1,63.4,72.6,69.2,65.7,63.8,72.9,64.2,-0.024,0.0,9.835,-0.472,-172.79,-0.222,0.041,0.0502,7.329,3.234,carpet,0.0,0.1,63.1,63.4,0.0866,-0.0388,-0.81,ok,avanzando en carpet
89,73.3,68.2,70.3,65.2,70.7,70.2,64.7,68.5,1.168,0.0,9.818,-0.381,-4962.308,-0.215,1.192,0.1005,7.429,3.335,rough,0,6.8,68.5,64.7,0.088,-0.0403,-0.81,ok,explorando (rough)
90,69.5,67.9,64.0,67.5,64.1,65.4,60.6,76.0,0.014,-0.003,9.802,-6.963,529.449,-37.958,1.154,-0.0,7.128,3.636,rough,0.0,0.1,69.5,60.6,0.088,-0.0403,-0.607,ok,avanzando en rough
91,69.1,69.7,71.5,60.5,69.9,65.5,74.3,70.3,1.167,-0.0,9.81,-2.36,-4283.661,-29.707,1.153,0.0502,7.178,3.686,rough,0,6.8,69.1,69.7,0.0888,-0.0409,-0.626,ok,avanzando en rough
92,66.6,69.7,66.4,70.5,64.3,68.1,67.5,63.2,0.1,0.001,9.812,-0.436,2099.653,-22.71,1.067,0.0502,7.228,3.737,rough,0.0,0.6,63.2,67.5,0.0896,-0.0415,-0.641,ok,avanzando en rough
93,66.5,67.6,67.3,62.6,66.4,62.0,66.0,66.8,0.003,0.001,9.762,-1.42,2268.895,-18.936,0.11,0.0502,7.279,3.787,metal,0,0.0,66.5,66.0,0.0904,-0.0421,-0.653,ok,avanzando en metal
94,68.5,64.9,62.6,66.1,73.1,65.5,64.8,66.2,1.559,0.001,9.761,0.453,-4400.09,-14.488,1.556,0.1225,7.404,3.906,rough,0,9.1,66.2,64.8,0.0923,-0.0436,-0.665,ok,avanzando en rough
95,56.0,60.3,68.5,68.8,72.6,65.8,67.2,69.0,-1.297,0.001,9.79,-2.883,2629.408,-12.177,2.856,0.0502,7.454,3.956,rough,0,7.5,56.0,60.3,0.0931,-0.0442,-0.672,ok,avanzando en rough
96,66.3,69.9,66.8,67.2,66.5,70.6,67.3,70.5,-0.04,0.001,9.774,-2.721,2777.535,-9.827,1.258,0.0502,7.505,4.007,rough,0.0,0.2,66.3,67.3,0.0939,-0.0449,-0.679,ok,avanzando en rough
97,73.5,65.3,65.2,66.7,65.7,69.2,69.2,70.0,-0.035,0.001,9.751,-3.148,-110.641,-7.713,0.023,0.0502,7.555,4.057,carpet,0.0,0.2,70.0,65.3,0.0947,-0.0455,-0.684,ok,avanzando en carpet
98,66.6,68.6,68.4,71.4,63.3,68.3,68.4,70.8,1.149,0.001,9.849,-1.946,-4930.565,-6.427,1.188,0.1005,7.655,4.157,rough,0,6.7,66.6,68.4,0.0962,-0.0468,-0.688,ok,avanzando en rough
99,70.8,62.1,72.8,66.7,63.9,67.9,64.0,67.6,-0.916,0.001,9.819,-1.637,2456.431,-4.702,2.065,0.0502,7.706,4.208,rough,0,5.3,67.6,62.1,0.097,-0.0474,-0.691,ok,avanzando en rough
100,67.6,67.7,66.6,63.0,63.6,63.1,65.7,71.2,-0.039,0.001,9.858,-2.169,2556.619,-3.825,0.877,0.0502,7.756,4.258,rough,0.0,0.2,67.6,65.7,0.0978,-0.0481,-0.693,ok,avanzando en rough
101,72.6,62.2,65.3,66.1,67.8,66.6,66.9,61.7,-0.035,0.0,9.813,-2.061,-110.159,-3.031,0.045,0.0502,7.806,4.308,carpet,0,0.2,61.7,62.2,0.0985,-0.0487,-0.695,ok,avanzando en carpet
102,71.0,72.9,69.9,63.5,69.7,67.4,65.9,66.7,1.146,0.0,9.78,-1.486,-4918.808,-2.458,1.181,0.1005,7.907,4.409,rough,0.0,6.7,66.7,65.9,0.1001,-0.05,-0.697,ok,avanzando en rough
103,68.0,67.7,70.1,67.7,72.4,62.6,63.0,62.4,-0.913,0.0,9.831,-0.995,2452.714,-1.595,2.06,0.0502,7.957,4.459,rough,0,5.3,62.4,63.0,0.1008,-0.0506,-0.698,ok,avanzando en rough
104,72.7,63.2,63.6,65.6,63.5,67.3,66.3,70.9,-0.039,0.0,9.779,-1.309,2565.23,-1.318,0.876,0.0502,8.007,4.509,rough,0.0,0.2,70.9,63.2,0.1016,-0.0513,-0.698,ok,avanzando en rough
105,64.8,71.5,64.0,65.0,69.2,69.6,67.3,67.8,-0.034,0.0,9.799,-1.143,-106.473,-0.99,0.02,0.0502,8.057,4.559,carpet,0,0.2,64.8,67.3,0.1024,-0.0519,-0.699,ok,avanzando en carpet
106,66.1,69.0,63.8,68.2,72.9,64.1,77.3,65.6,1.152,0.0,9.798,-0.878,-4918.166,-0.824,1.186,0.1005,8.158,4.66,rough,0.0,6.7,65.6,69.0,0.1039,-0.0532,-0.7,ok,avanzando en rough
107,65.5,70.6,68.8,63.7,67.3,71.6,71.5,73.5,-0.912,0.0,9.807,-0.535,2435.291,-0.31,2.063,0.0502,8.208,4.71,rough,0,5.3,65.5,70.6,0.1047,-0.0539,-0.7,ok,avanzando en rough
108,66.0,65.4,65.3,66.3,64.1,65.7,69.9,69.9,-0.038,0.0,9.822,-0.686,2550.035,-0.412,0.874,0.0502,8.258,4.76,rough,0,0.2,66.0,65.4,0.1054,-0.0545,-0.7,ok,avanzando en rough
