step,ps0,ps1,ps2,ps3,ps4,ps5,ps6,ps7,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,vibracion,avance_real,odo_izq,odo_der,terreno,slip,inclinacion,front_min,side_min,safety,action
94,72.0,67.6,69.5,69.6,64.9,68.6,59.9,68.7,-0.084,-0.0,9.864,-0.245,-1725.273,12.312,0.079,0.0691,9.006,6.355,carpet,0.018,0.5,68.7,59.9,ok,avanzando en carpet a 50% slip=0.018
95,68.6,62.6,70.5,68.1,69.9,67.5,58.7,69.7,0.7,-0.0,9.826,-0.486,-4687.944,10.044,0.784,0.1005,9.106,6.456,rough,0.0,4.1,68.6,58.7,ok,avanzando en carpet a 50% slip=0.018
96,69.1,68.4,74.1,66.9,65.2,67.1,68.8,70.0,0.016,-0.0,9.767,-0.155,2317.27,8.511,0.686,0.1005,9.206,6.556,rough,0.0,0.1,69.1,68.4,ok,avanzando en carpet a 50% slip=0.018
97,72.5,63.4,59.5,65.9,65.5,63.0,65.2,67.1,-0.083,-0.0,9.801,0.33,2336.589,6.739,0.105,0.1005,9.307,6.657,metal,0,0.5,67.1,63.4,ok,avanzando en carpet a 50% slip=0.018
98,69.1,67.4,69.0,67.2,67.7,68.2,63.1,67.8,-0.069,-0.0,9.812,1.166,-321.413,5.153,0.018,0.1005,9.407,6.757,carpet,0.0,0.4,67.8,63.1,ok,avanzando en carpet a 50% slip=0.018
99,71.8,63.5,70.8,64.5,68.5,66.6,70.1,67.4,-0.052,-0.0,9.795,1.041,-407.435,3.978,0.025,0.1005,9.508,6.858,carpet,0,0.3,67.4,63.5,ok,claude:carpet
100,56.7,66.8,62.8,74.4,64.7,63.7,63.2,64.1,-0.033,-0.0,9.837,1.12,-470.212,3.061,0.047,0.1005,9.608,6.958,carpet,0.0,0.2,56.7,63.2,ok,claude:carpet
101,62.1,67.1,67.0,67.4,67.0,68.8,63.1,63.4,-0.012,-0.0,9.776,1.111,-507.512,2.336,0.065,0.1005,9.709,7.059,carpet,0,0.1,62.1,63.1,ok,claude:carpet
102,66.8,69.4,64.4,67.2,65.1,67.1,69.6,62.2,0.01,-0.0,9.822,1.039,-511.525,1.758,0.051,0.1005,9.809,7.159,carpet,0.0,0.1,62.2,69.4,ok,claude:carpet
103,69.6,65.1,65.3,63.0,73.4,71.9,68.6,67.7,0.031,-0.0,9.792,0.946,-492.773,1.305,0.036,0.1005,9.91,7.26,carpet,0,0.2,67.7,65.1,ok,claude:carpet
